idx,nom_rue,highway,longueur_m,largeur_m,hauteur_bat_m,nb_batiments,ratio_hw,h_canyon_m,vent_eff,total_emit,concentration,delta_T,heure,pblh_m
213,Ruelle sans nom (segment 213),residential,46.05767555606948,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
214,Ruelle sans nom (segment 214),residential,57.65473881452825,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
215,Ruelle sans nom (segment 215),residential,198.61013339848637,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
216,Ruelle sans nom (segment 216),residential,31.916091936801138,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
217,Ngách 562/17 Phố Trần Cung,residential,197.8455566773526,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
218,Ruelle sans nom (segment 218),residential,24.212333265119593,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
219,Ruelle sans nom (segment 219),secondary_link,16.245932610872124,10,12.0,0,1.2,26.4,0.84,0.02361,10.69,0.83,8,313
220,Phạm Văn Nghị,residential,508.0340953323431,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.04,8,313
221,Ruelle sans nom (segment 221),residential,70.33048410584124,8,43.5,2,5.44,280.0,0.29,0.03542,49.48,3.06,8,313
222,Ngõ 153 Phố Tân Phong,residential,93.77334234000425,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
223,Ruelle sans nom (segment 223),residential,49.84416756083914,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
224,Ruelle sans nom (segment 224),residential,50.127404069789975,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
225,Phố Tân Phong,residential,37.64985047493582,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
226,Phố Tân Phong,residential,186.9278574677851,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
227,Ruelle sans nom (segment 227),residential,208.17595188491276,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
228,Ngõ 186 Tân Phong,residential,54.93965361018175,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
229,Phố Tân Phong,residential,47.75830975707268,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
230,Ngõ 186 Tân Phong,residential,16.822023197237545,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
231,Ngõ 149 Phố Tân Phong,residential,80.00885806570004,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
232,Ruelle sans nom (segment 232),residential,69.9575313405141,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
233,Ruelle sans nom (segment 233),residential,254.52691832124475,8,12.0,3,1.5,30.0,0.74,0.03542,20.05,1.07,8,313
234,Đường Cầu Noi,tertiary,131.86639550550237,12,12.0,5,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
235,Phố Tân Phong,residential,157.92840152068266,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
236,Ruelle sans nom (segment 236),residential,218.3206542853425,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
237,Phố Tân Phong,residential,7.1736360405182475,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
238,Phố Tân Phong,residential,42.35668822068269,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
239,Ngõ 123 Phố Tân Phong,residential,50.075759920109384,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
240,Ruelle sans nom (segment 240),residential,44.424101636938104,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
241,Ngõ 123 Phố Tân Phong,residential,10.035142608770458,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
242,Ruelle sans nom (segment 242),residential,6.0601622498055185,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
243,Ngách 150/53 Phố Tân Phong,residential,103.52112906659238,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
244,Ruelle sans nom (segment 244),residential,21.980178663580134,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
245,Ruelle sans nom (segment 245),residential,68.17955504622925,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
246,Ruelle sans nom (segment 246),residential,68.07487898494811,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
247,Ngõ 126 Phố Tân Phong,residential,44.231420654157844,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
248,Phố Tân Phong,residential,57.027876565056914,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
249,Phố Tân Phong,residential,49.973996333882845,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
250,Ruelle sans nom (segment 250),residential,71.26854378382886,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
251,Ngõ 114 Phố Tân Phong,residential,27.348549659364377,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
252,Ngõ 114 Phố Tân Phong,residential,56.9900893958294,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
253,Ruelle sans nom (segment 253),residential,252.84517296099602,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.07,8,313
254,Ngõ 114 Phố Tân Phong,residential,123.18292732108043,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
255,Ruelle sans nom (segment 255),residential,189.76066167090266,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
256,Ruelle sans nom (segment 256),residential,17.921787451318938,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
257,Ruelle sans nom (segment 257),residential,83.61690007490814,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
258,Ruelle sans nom (segment 258),residential,130.22590513331852,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
259,Phố Tân Phong,residential,54.853716424622675,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
260,Ruelle sans nom (segment 260),residential,65.97998484472137,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
261,Ruelle sans nom (segment 261),residential,92.72051461591222,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
262,Ruelle sans nom (segment 262),residential,104.18770283103134,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
263,Đường Sông Nhuệ,residential,263.71127872746274,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.07,8,313
264,Ngõ 1 Văn Hội,residential,32.71388199470064,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
265,Ruelle sans nom (segment 265),residential,57.627382478443636,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
266,đường 21,residential,85.10617244534693,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
267,Phố Văn Hội,residential,52.6332071095951,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
268,Ngõ 46 Văn Hội,residential,33.56200028651561,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
269,Ngõ 46 Văn Hội,residential,5.449878523249547,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
270,Ngõ 46 Văn Hội,residential,83.11645130192171,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
271,Ngõ 46 Văn Hội,residential,35.11224153174281,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
272,Ruelle sans nom (segment 272),residential,40.79150367687673,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
273,Ruelle sans nom (segment 273),residential,137.61515282594632,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
274,Ngõ 46 Văn Hội,residential,128.76418126672388,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
275,Ngõ 31 Văn Hội,residential,122.0205847678202,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
276,Ruelle sans nom (segment 276),residential,74.28524644485145,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
277,Ruelle sans nom (segment 277),residential,197.32540712474292,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
278,Ruelle sans nom (segment 278),residential,37.373160686044194,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
279,Phố Văn Hội,residential,41.50199615481324,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
280,Ngách 27 Ngõ 176,residential,88.79254010572218,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
281,Ruelle sans nom (segment 281),residential,49.92343197805787,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
282,Ngõ 113 Phố Văn Hội,residential,34.850441941098055,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
283,Phố Văn Hội,residential,133.32709294612943,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
284,Ngõ 429 Đường Hoàng Tăng Bí,residential,57.89845640781529,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
285,Phố Văn Hội,residential,27.35587486411028,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
286,Ruelle sans nom (segment 286),residential,22.355852999456907,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
287,Ruelle sans nom (segment 287),residential,111.08317617009246,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
288,Đường Bờ tây sông Nhuệ,tertiary,843.2058164078494,12,12.0,1,1.0,24.0,0.92,0.14028,52.94,1.79,8,313
289,Ruelle sans nom (segment 289),residential,62.97533091465003,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
290,Ruelle sans nom (segment 290),residential,188.2022762988737,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
291,Phố Tân Phong,residential,125.55300033770358,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
292,Ruelle sans nom (segment 292),unclassified,12.740395930648814,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
293,Ngõ 20 Phố Lê Văn Hiến,residential,62.23397281403794,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
294,Đường Lê Văn Hiến,tertiary,59.7975552848513,12,12.0,35,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
295,Ngõ 20 Phố Lê Văn Hiến,residential,58.551015469144886,8,12.0,18,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
296,Ruelle sans nom (segment 296),residential,114.05237296735186,8,12.0,18,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
297,đường 15,residential,92.66349695321269,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
298,đường 15,residential,28.3976807780616,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
299,đường 16,residential,69.82015319539602,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
300,đường 17,residential,27.82637535024227,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
301,đường 18,residential,20.72061497068678,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
302,đường 18,residential,35.82268914585283,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
303,Ngõ 1 Văn Hội,residential,11.963431432065047,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
304,Ruelle sans nom (segment 304),residential,80.74386908301005,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
305,Ruelle sans nom (segment 305),residential,48.42042844108194,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
306,Ruelle sans nom (segment 306),residential,58.358250383251416,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
307,Ruelle sans nom (segment 307),residential,72.4787269048443,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
308,Đường Tân Xuân,secondary,90.15776793437183,16,12.0,0,0.75,21.0,1.05,0.22986,65.06,2.66,8,313
309,Phố Viên,residential,395.69806173151744,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.05,8,313
310,Khu B Đại Học Mỏ,residential,200.76890624434634,8,12.0,5,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
311,Ruelle sans nom (segment 311),residential,144.37988962054894,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
312,Ruelle sans nom (segment 312),residential,50.82509649510591,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
313,Khu B Đại Học Mỏ,residential,401.8048919586455,8,12.0,5,1.5,30.0,0.74,0.03542,20.05,1.05,8,313
314,Ruelle sans nom (segment 314),residential,50.18918212589661,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
315,Ruelle sans nom (segment 315),residential,47.66677270192773,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
316,Phố Viên,tertiary,30.323682300569807,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.9,8,313
317,Phố Viên,tertiary,74.19369824276245,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
318,Ruelle sans nom (segment 318),residential,59.402849743602864,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
319,Ruelle sans nom (segment 319),residential,73.54602185297576,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
320,Phố Viên,tertiary,252.7246054411203,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.87,8,313
321,Ruelle sans nom (segment 321),residential,50.765417269028454,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
322,Ruelle sans nom (segment 322),residential,50.08938679168548,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
323,Ruelle sans nom (segment 323),residential,61.10223745020211,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
324,Ruelle sans nom (segment 324),residential,52.16942443797565,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
325,Ruelle sans nom (segment 325),residential,182.7288280160568,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
326,Ruelle sans nom (segment 326),residential,47.549514320780574,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
327,Ruelle sans nom (segment 327),residential,91.34900753735009,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
328,Ruelle sans nom (segment 328),residential,165.42537623926233,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
329,Ngõ 523 Đường Cổ Nhuế,residential,1.7179711547282948,8,45.0,1,5.62,298.1,0.28,0.03542,50.93,3.17,8,313
330,Đường Phạm Văn Nghị,residential,50.066378573586704,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
331,Ruelle sans nom (segment 331),residential,11.362488073701932,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
332,Ruelle sans nom (segment 332),residential,68.90072591420419,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
333,ngõ 288 đường Phú Diễn,residential,44.41265757276359,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
334,ngõ 288 đường Phú Diễn,residential,197.0375065719168,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
335,Ruelle sans nom (segment 335),residential,82.49159811698661,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
336,ngõ 288 đường Phú Diễn,residential,77.45113805008491,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
337,Đường Phú Diễn,tertiary,133.08233905115625,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
338,Ruelle sans nom (segment 338),residential,64.0003049060517,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
339,Ruelle sans nom (segment 339),residential,64.6846715781549,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
340,Ngõ 309 Đường Phú Diễn,residential,50.313494072636985,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
341,Đường Phú Diễn,tertiary,30.0907238350062,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.9,8,313
342,Ruelle sans nom (segment 342),residential,23.402481886236924,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
343,Ruelle sans nom (segment 343),residential,5.50929071498382,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
344,Ruelle sans nom (segment 344),residential,61.96457657353702,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
345,Ruelle sans nom (segment 345),residential,62.72707016906302,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
346,Ruelle sans nom (segment 346),residential,73.79073944777215,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
347,Ruelle sans nom (segment 347),residential,223.00325316669378,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.07,8,313
348,Ruelle sans nom (segment 348),residential,133.23877208087745,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
349,Ruelle sans nom (segment 349),residential,48.75589413957861,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
350,Ruelle sans nom (segment 350),residential,52.35457276385612,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
351,Ruelle sans nom (segment 351),residential,11.449965882540928,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
352,Ruelle sans nom (segment 352),residential,192.07982790291337,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
353,Ngõ 1 Văn Hội,residential,18.59222485296444,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
354,Ngách 56/16 Phố Lê Văn Hiến,residential,34.009985733321656,8,12.0,8,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
355,Ruelle sans nom (segment 355),residential,82.74173032715728,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
356,Ruelle sans nom (segment 356),residential,46.395797728470924,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
357,Ngõ 186 Tân Phong,residential,43.876309356766676,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
358,Ngõ 186 Tân Phong,residential,45.48744158073635,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
359,Ruelle sans nom (segment 359),residential,25.751467163364776,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
360,Ruelle sans nom (segment 360),residential,88.46426436858431,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
361,Ruelle sans nom (segment 361),residential,37.48200040209037,8,10.0,3,1.25,22.5,0.82,0.03542,24.06,0.97,8,313
362,Ruelle sans nom (segment 362),residential,37.9963079477786,8,10.5,2,1.31,24.3,0.8,0.03542,22.91,1.01,8,313
363,Ruelle sans nom (segment 363),residential,42.44082797249835,8,9.375,8,1.17,20.4,0.85,0.03542,25.66,0.93,8,313
364,Ruelle sans nom (segment 364),residential,41.516749224242844,8,9.0,1,1.12,19.1,0.87,0.03542,26.73,0.91,8,313
365,Ruelle sans nom (segment 365),residential,52.73412772032259,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
366,Ruelle sans nom (segment 366),residential,36.93779680796947,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
367,Ruelle sans nom (segment 367),residential,25.304041953154886,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
368,Ngõ 521 Đường Cổ Nhuế,residential,34.81684633717445,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
369,Ngõ 521 Đường Cổ Nhuế,residential,65.15650346843994,8,10.0,3,1.25,22.5,0.82,0.03542,24.06,0.97,8,313
370,Ruelle sans nom (segment 370),residential,36.51638734882728,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
371,Ruelle sans nom (segment 371),residential,73.13355175321873,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
372,Ruelle sans nom (segment 372),residential,29.90514643548145,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
373,Ruelle sans nom (segment 373),residential,14.13398446499892,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
374,Ruelle sans nom (segment 374),residential,56.46177235467579,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
375,Ngõ 521 Đường Cổ Nhuế,residential,13.684214059078124,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
376,Ruelle sans nom (segment 376),residential,63.131346624061564,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
377,Ngõ 521 Đường Cổ Nhuế,residential,19.8278954942048,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
378,Ruelle sans nom (segment 378),residential,19.495757826407765,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
379,Ruelle sans nom (segment 379),residential,37.97715071487337,8,45.0,1,5.62,298.1,0.28,0.03542,50.93,3.16,8,313
380,Ruelle sans nom (segment 380),residential,37.18418798718245,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
381,Ruelle sans nom (segment 381),residential,26.34951506073747,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
382,Ruelle sans nom (segment 382),residential,92.66526509780746,8,45.0,1,5.62,298.1,0.28,0.03542,50.93,3.15,8,313
383,Ruelle sans nom (segment 383),residential,50.44987188820144,8,45.0,1,5.62,298.1,0.28,0.03542,50.93,3.16,8,313
384,Ngõ 521 Đường Cổ Nhuế,residential,99.19313876575958,8,15.666666666666666,9,1.96,46.3,0.62,0.03542,22.74,1.32,8,313
385,Ngõ 521 Đường Cổ Nhuế,residential,32.82015901438875,8,9.6,5,1.2,21.1,0.84,0.03542,25.06,0.95,8,313
386,đường ăn phở,unclassified,8.470865198108449,8,10.2,5,1.27,23.2,0.81,0.03542,23.59,0.99,8,313
387,Ruelle sans nom (segment 387),residential,38.69381167088537,8,7.5,2,0.94,14.5,0.95,0.03542,32.08,0.82,8,313
388,Ruelle sans nom (segment 388),residential,73.77116010992218,8,7.5,2,0.94,14.5,0.95,0.03542,32.08,0.81,8,313
389,Ruelle sans nom (segment 389),residential,62.418100381641544,8,43.5,2,5.44,280.0,0.29,0.03542,49.48,3.06,8,313
390,Ruelle sans nom (segment 390),residential,252.92100985304143,8,44.25,8,5.53,289.0,0.28,0.03542,50.21,3.09,8,313
391,Ngõ 562 Phố Trần Cung,residential,193.66507570202717,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
392,Ruelle sans nom (segment 392),residential,57.16961972878774,8,12.0,3,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
393,Ruelle sans nom (segment 393),residential,53.66541822466285,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
394,Ngõ 87 Đường Tân Xuân,residential,231.30333820779555,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.07,8,313
395,Phố Văn Hội,residential,176.5743560457763,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
396,Đường Phạm Văn Đồng,primary,419.2663670382057,20,12.0,0,0.6,19.2,1.15,0.30463,68.98,3.29,8,313
397,Đường Phạm Văn Đồng,primary,131.4138632896984,20,12.0,0,0.6,19.2,1.15,0.30463,68.98,3.33,8,313
398,Phố Viên,tertiary,113.21453325446674,12,12.0,2,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
399,Phố Viên,tertiary,67.28605789782716,12,12.0,12,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
400,đường 17,residential,35.60560022176205,8,12.0,1,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
401,Ruelle sans nom (segment 401),residential,35.25742595443026,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
402,Ruelle sans nom (segment 402),residential,14.645576070925964,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
403,Phố Tân Phong,residential,171.40035952632095,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
404,Phố Viên,tertiary,663.7066027548221,12,12.0,4,1.0,24.0,0.92,0.14028,52.94,1.81,8,313
405,Ruelle sans nom (segment 405),residential,56.82685467711838,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
406,Ruelle sans nom (segment 406),residential,90.72233313569609,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
407,Ruelle sans nom (segment 407),residential,33.52939020607326,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
408,Ruelle sans nom (segment 408),residential,213.57962515755648,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.08,8,313
409,Ngõ 309 Đường Phú Diễn,residential,426.09057336912474,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.05,8,313
410,Ruelle sans nom (segment 410),residential,32.05750007239611,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
411,Ruelle sans nom (segment 411),residential,17.820549710821744,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
412,Ruelle sans nom (segment 412),residential,53.21328405743171,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
413,Ruelle sans nom (segment 413),residential,50.03843090812512,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
414,Ruelle sans nom (segment 414),residential,138.927882057751,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
415,Ruelle sans nom (segment 415),residential,104.84865240224262,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
416,Ruelle sans nom (segment 416),residential,41.96872379325446,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
417,Ruelle sans nom (segment 417),residential,92.7582927985245,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
418,Ruelle sans nom (segment 418),residential,75.41536104981681,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.09,8,313
419,Ruelle sans nom (segment 419),unclassified,31.192133255125068,8,12.0,7,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
420,Phố Viên,tertiary,107.15090956387739,12,12.0,13,1.0,24.0,0.92,0.14028,52.94,1.89,8,313
421,Ruelle sans nom (segment 421),unclassified,53.672226666163446,8,12.0,2,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
422,Ruelle sans nom (segment 422),residential,15.833272105666067,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
423,Ruelle sans nom (segment 423),residential,37.58483007858379,8,81.0,1,10.12,901.1,0.17,0.03542,29.7,5.41,8,313
424,Ruelle sans nom (segment 424),residential,9.866744177085783,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
425,Ruelle sans nom (segment 425),residential,192.90360783431237,8,75.0,3,9.38,778.1,0.18,0.03542,32.08,5.02,8,313
426,Ruelle sans nom (segment 426),residential,33.5894697157519,8,12.0,0,1.5,30.0,0.74,0.03542,20.05,1.1,8,313
427,Phố Nguyễn Đình Tứ,tertiary,293.7767685772242,12,12.0,0,1.0,24.0,0.92,0.14028,52.94,1.86,8,313
